name,server_name,server_id
MissingNo.,James dreamland,1195297086921506817
Bulbasaur,James dreamland,1195297086921506817
Ivysaur,James dreamland,1195297086921506817
Venusaur,James dreamland,1195297086921506817
Charmander,James dreamland,1195297086921506817
Charmeleon,James dreamland,1195297086921506817
Charizard,James dreamland,1195297086921506817
Squirtle,James dreamland,1195297086921506817
Wartortle,James dreamland,1195297086921506817
Blastoise,James dreamland,1195297086921506817
Caterpie,James dreamland,1195297086921506817
Metapod,James dreamland,1195297086921506817
Butterfree,James dreamland,1195297086921506817
Weedle,James dreamland,1195297086921506817
Kakuna,James dreamland,1195297086921506817
Beedrill,James dreamland,1195297086921506817
Pidgey,James dreamland,1195297086921506817
Pidgeotto,James dreamland,1195297086921506817
Pidgeot,James dreamland,1195297086921506817
Rattata,James dreamland,1195297086921506817
Raticate,James dreamland,1195297086921506817
Spearow,James dreamland,1195297086921506817
Fearow,James dreamland,1195297086921506817
Ekans,James dreamland,1195297086921506817
Arbok,James dreamland,1195297086921506817
Pikachu,James dreamland,1195297086921506817
Raichu,James dreamland,1195297086921506817
Sandshrew,James dreamland,1195297086921506817
Sandslash,James dreamland,1195297086921506817
Nidoran♀️,James dreamland,1195297086921506817
Nidorina,James dreamland,1195297086921506817
Nidoqueen,James dreamland,1195297086921506817
Nidoran♂️,James dreamland,1195297086921506817
Nidorino,James dreamland,1195297086921506817
Nidoking,James dreamland,1195297086921506817
Clefairy,James dreamland,1195297086921506817
Clefable,James dreamland,1195297086921506817
Vulpix,James dreamland,1195297086921506817
Ninetales,James dreamland,1195297086921506817
Jigglypuff,James dreamland,1195297086921506817
Wigglytuff,James dreamland,1195297086921506817
Zubat,James dreamland,1195297086921506817
Golbat,James dreamland,1195297086921506817
Oddish,James dreamland,1195297086921506817
Gloom,James dreamland,1195297086921506817
Vileplume,James dreamland,1195297086921506817
Paras,James dreamland,1195297086921506817
Parasect,James dreamland,1195297086921506817
Venonat,James dreamland,1195297086921506817
Venomoth,MeowthMischief ★,1195297929011937331
Diglett,MeowthMischief ★,1195297929011937331
Dugtrio,MeowthMischief ★,1195297929011937331
Meowth,MeowthMischief ★,1195297929011937331
Persian,MeowthMischief ★,1195297929011937331
Psyduck,MeowthMischief ★,1195297929011937331
Golduck,MeowthMischief ★,1195297929011937331
Mankey,MeowthMischief ★,1195297929011937331
Primeape,MeowthMischief ★,1195297929011937331
Growlithe,MeowthMischief ★,1195297929011937331
Arcanine,MeowthMischief ★,1195297929011937331
Poliwag,MeowthMischief ★,1195297929011937331
Poliwhirl,MeowthMischief ★,1195297929011937331
Poliwrath,MeowthMischief ★,1195297929011937331
Abra,MeowthMischief ★,1195297929011937331
Kadabra,MeowthMischief ★,1195297929011937331
Alakazam,MeowthMischief ★,1195297929011937331
Machop,MeowthMischief ★,1195297929011937331
Machoke,MeowthMischief ★,1195297929011937331
Machamp,MeowthMischief ★,1195297929011937331
Bellsprout,MeowthMischief ★,1195297929011937331
Weepinbell,MeowthMischief ★,1195297929011937331
Victreebel,MeowthMischief ★,1195297929011937331
Tentacool,MeowthMischief ★,1195297929011937331
Tentacruel,MeowthMischief ★,1195297929011937331
Geodude,MeowthMischief ★,1195297929011937331
Graveler,MeowthMischief ★,1195297929011937331
Golem,MeowthMischief ★,1195297929011937331
Ponyta,MeowthMischief ★,1195297929011937331
Rapidash,MeowthMischief ★,1195297929011937331
Slowpoke,MeowthMischief ★,1195297929011937331
Slowbro,MeowthMischief ★,1195297929011937331
Magnemite,MeowthMischief ★,1195297929011937331
Magneton,MeowthMischief ★,1195297929011937331
Farfetch'd,MeowthMischief ★,1195297929011937331
Doduo,MeowthMischief ★,1195297929011937331
Dodrio,MeowthMischief ★,1195297929011937331
Seel,MeowthMischief ★,1195297929011937331
Dewgong,MeowthMischief ★,1195297929011937331
Grimer,MeowthMischief ★,1195297929011937331
Muk,MeowthMischief ★,1195297929011937331
Shellder,MeowthMischief ★,1195297929011937331
Cloyster,MeowthMischief ★,1195297929011937331
Gastly,MeowthMischief ★,1195297929011937331
Haunter,MeowthMischief ★,1195297929011937331
Gengar,MeowthMischief ★,1195297929011937331
Onix,MeowthMischief ★,1195297929011937331
Drowzee,MeowthMischief ★,1195297929011937331
Hypno,MeowthMischief ★,1195297929011937331
Krabby,Shiny Den,1195395658715250728
Kingler,Shiny Den,1195395658715250728
Voltorb,Shiny Den,1195395658715250728
Electrode,Shiny Den,1195395658715250728
Exeggcute,Shiny Den,1195395658715250728
Exeggutor,Shiny Den,1195395658715250728
Cubone,Shiny Den,1195395658715250728
Marowak,Shiny Den,1195395658715250728
Hitmonlee,Shiny Den,1195395658715250728
Hitmonchan,Shiny Den,1195395658715250728
Lickitung,Shiny Den,1195395658715250728
Koffing,Shiny Den,1195395658715250728
Weezing,Shiny Den,1195395658715250728
Rhyhorn,Shiny Den,1195395658715250728
Rhydon,Shiny Den,1195395658715250728
Chansey,Shiny Den,1195395658715250728
Tangela,Shiny Den,1195395658715250728
Kangaskhan,Shiny Den,1195395658715250728
Horsea,Shiny Den,1195395658715250728
Seadra,Shiny Den,1195395658715250728
Goldeen,Shiny Den,1195395658715250728
Seaking,Shiny Den,1195395658715250728
Staryu,Shiny Den,1195395658715250728
Starmie,Shiny Den,1195395658715250728
Mr. Mime,Shiny Den,1195395658715250728
Scyther,Shiny Den,1195395658715250728
Jynx,Shiny Den,1195395658715250728
Electabuzz,Shiny Den,1195395658715250728
Magmar,Shiny Den,1195395658715250728
Pinsir,Shiny Den,1195395658715250728
Tauros,Shiny Den,1195395658715250728
Magikarp,Shiny Den,1195395658715250728
Gyarados,Shiny Den,1195395658715250728
Lapras,Shiny Den,1195395658715250728
Ditto,Shiny Den,1195395658715250728
Eevee,Shiny Den,1195395658715250728
Vaporeon,Shiny Den,1195395658715250728
Jolteon,Shiny Den,1195395658715250728
Flareon,Shiny Den,1195395658715250728
Porygon,Shiny Den,1195395658715250728
Omanyte,Shiny Den,1195395658715250728
Omastar,Shiny Den,1195395658715250728
Kabuto,Shiny Den,1195395658715250728
Kabutops,Shiny Den,1195395658715250728
Aerodactyl,Shiny Den,1195395658715250728
Snorlax,Shiny Den,1195395658715250728
Articuno,Shiny Den,1195395658715250728
Zapdos,Shiny Den,1195395658715250728
Moltres,Shiny Den,1195395658715250728
Dratini,Team Rocket Skyscraper,1196008510413094952
Dragonair,Team Rocket Skyscraper,1196008510413094952
Dragonite,Team Rocket Skyscraper,1196008510413094952
Mewtwo,Team Rocket Skyscraper,1196008510413094952
Mew,Team Rocket Skyscraper,1196008510413094952
Chikorita,Team Rocket Skyscraper,1196008510413094952
Bayleef,Team Rocket Skyscraper,1196008510413094952
Meganium,Team Rocket Skyscraper,1196008510413094952
Cyndaquil,Team Rocket Skyscraper,1196008510413094952
Quilava,Team Rocket Skyscraper,1196008510413094952
Typhlosion,Team Rocket Skyscraper,1196008510413094952
Totodile,Team Rocket Skyscraper,1196008510413094952
Croconaw,Team Rocket Skyscraper,1196008510413094952
Feraligatr,Team Rocket Skyscraper,1196008510413094952
Sentret,Team Rocket Skyscraper,1196008510413094952
Furret,Team Rocket Skyscraper,1196008510413094952
Hoothoot,Team Rocket Skyscraper,1196008510413094952
Noctowl,Team Rocket Skyscraper,1196008510413094952
Ledyba,Team Rocket Skyscraper,1196008510413094952
Ledian,Team Rocket Skyscraper,1196008510413094952
Spinarak,Team Rocket Skyscraper,1196008510413094952
Ariados,Team Rocket Skyscraper,1196008510413094952
Crobat,Team Rocket Skyscraper,1196008510413094952
Chinchou,Team Rocket Skyscraper,1196008510413094952
Lanturn,Team Rocket Skyscraper,1196008510413094952
Pichu,Team Rocket Skyscraper,1196008510413094952
Cleffa,Team Rocket Skyscraper,1196008510413094952
Igglybuff,Team Rocket Skyscraper,1196008510413094952
Togepi,Team Rocket Skyscraper,1196008510413094952
Togetic,Team Rocket Skyscraper,1196008510413094952
Natu,Team Rocket Skyscraper,1196008510413094952
Xatu,Team Rocket Skyscraper,1196008510413094952
Mareep,Team Rocket Skyscraper,1196008510413094952
Flaaffy,Team Rocket Skyscraper,1196008510413094952
Ampharos,Team Rocket Skyscraper,1196008510413094952
Bellossom,Team Rocket Skyscraper,1196008510413094952
Marill,Team Rocket Skyscraper,1196008510413094952
Azumarill,Team Rocket Skyscraper,1196008510413094952
Sudowoodo,Team Rocket Skyscraper,1196008510413094952
